Date, Time, Relative Time, Platform Temp., Sample Temp., Stage 1 Temp., Stage 2 Temp., User Temp., Compressor Supply, Compressor Return, Compressor State, Compressor Speed, Head Speed, Vacuum Pressure, Units, Stage 1 Heater Set, Stage 1 Heater Watt., Stage 2 Heater Set, Stage 2 Heater Watt., Platform Heater Set, Platform Heater Watt., User Heater Set, User Heater Watt., System State, Manual Mode, PID Temp Control, Compressor Status, Vacuum Pump (On/off), Case Valve (Open/Closed), Vent Valve (Open/Closed), Target Temp., Sample Therm Enabled, Sample Therm Resistance, User Therm Enabled, User Therm Resistance, Stage 1 Therm Resistance, Stage 2 Therm Resistance, Stage 1 Heater Resistance, Stage 2 Heater Resistance, Platform Heater Resistance, Capsule Temp., He Temp., Oil Flow Ratio, Oil Level, Fan Speed, Solenoid Valve State, Oil Temp., Exhaust Temp.
10/20/2016, 0:00:09.415, 09:27:13, 4.867, 4.945, 59.13, 4.33, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3633.59, False, NaN, 10667.19, 2942.49, 104.00, 106.00, 100.00, 49.40, 24.24, 0.75, 26.65, 1, 0, 43.13, 31.98
10/20/2016, 0:00:39.073, 09:27:43, 4.886, 4.921, 59.13, 4.68, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3632.28, False, NaN, 10667.18, 2692.08, 104.00, 106.00, 100.00, 49.40, 24.24, 0.75, 26.65, 1, 0, 43.13, 31.98
10/20/2016, 0:01:08.732, 09:28:12, 4.930, 4.955, 59.13, 4.32, 0.000, 2.135, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3601.82, False, NaN, 10667.14, 2953.76, 104.00, 106.00, 100.00, 49.40, 24.24, 0.75, 26.65, 1, 0, 43.13, 31.98
10/20/2016, 0:01:38.390, 09:28:42, 4.903, 4.899, 59.13, 4.68, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3652.01, False, NaN, 10667.19, 2692.69, 104.00, 106.00, 100.00, 49.40, 24.24, 0.75, 26.65, 1, 0, 43.13, 31.87
10/20/2016, 0:02:08.049, 09:29:12, 4.884, 4.964, 59.14, 4.32, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3593.40, False, NaN, 10667.07, 2955.50, 104.00, 106.00, 100.00, 49.40, 24.14, 0.75, 26.65, 1, 0, 43.13, 31.87
10/20/2016, 0:02:37.708, 09:29:41, 4.906, 4.894, 58.87, 4.58, 0.000, 2.138, 0.754, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3657.07, False, NaN, 10670.55, 2759.62, 104.00, 106.00, 100.00, 49.40, 24.14, 0.75, 26.31, 1, 0, 43.01, 31.87
10/20/2016, 0:03:07.351, 09:30:11, 4.928, 4.962, 59.14, 4.35, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3595.72, False, NaN, 10667.10, 2927.59, 104.00, 106.00, 100.00, 49.40, 24.14, 0.75, 26.31, 1, 0, 43.01, 31.87
10/20/2016, 0:03:37.009, 09:30:41, 4.873, 4.900, 59.15, 4.40, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3651.16, False, NaN, 10666.94, 2887.00, 104.00, 106.00, 100.00, 49.40, 24.14, 0.75, 26.31, 1, 0, 43.01, 31.87
10/20/2016, 0:04:06.668, 09:31:10, 4.865, 4.945, 59.41, 4.38, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3610.54, False, NaN, 10663.60, 2902.70, 104.00, 106.00, 100.00, 49.26, 24.14, 0.75, 26.31, 1, 0, 43.01, 31.87
10/20/2016, 0:04:36.326, 09:31:40, 4.931, 4.926, 59.15, 4.39, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3627.35, False, NaN, 10666.97, 2898.70, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 26.31, 1, 0, 43.01, 31.87
10/20/2016, 0:05:05.985, 09:32:10, 4.938, 4.922, 59.41, 4.69, 0.000, 2.138, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3631.09, False, NaN, 10663.62, 2686.77, 104.00, 106.00, 100.00, 49.26, 24.03, 0.75, 26.31, 1, 0, 43.01, 31.87
