Date, Time, Relative Time, Platform Temp., Sample Temp., Stage 1 Temp., Stage 2 Temp., User Temp., Compressor Supply, Compressor Return, Compressor State, Compressor Speed, Head Speed, Vacuum Pressure, Units, Stage 1 Heater Set, Stage 1 Heater Watt., Stage 2 Heater Set, Stage 2 Heater Watt., Platform Heater Set, Platform Heater Watt., User Heater Set, User Heater Watt., System State, Manual Mode, PID Temp Control, Compressor Status, Vacuum Pump (On/off), Case Valve (Open/Closed), Vent Valve (Open/Closed), Target Temp., Sample Therm Enabled, Sample Therm Resistance, User Therm Enabled, User Therm Resistance, Stage 1 Therm Resistance, Stage 2 Therm Resistance, Stage 1 Heater Resistance, Stage 2 Heater Resistance, Platform Heater Resistance, Capsule Temp., He Temp., Oil Flow Ratio, Oil Level, Fan Speed, Solenoid Valve State, Oil Temp., Exhaust Temp.
10/11/2016, 13:38:05.872, 00:00:04, 295.107, 295.308, 294.66, 294.94, 0.000, 1.801, 1.789, REMOTE MODE, 14, 70, 741.06870, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - PUMP ON, False, False, OFF, ON, Closed, Closed, 2.00 K, True, 70.44, False, NaN, 42.09, 66.35, 104.00, 106.00, 100.00, 22.51, 22.72, 0.00, 96.61, 1, 0, 22.51, 22.51
10/11/2016, 13:38:35.528, 00:00:34, 295.067, 295.268, 294.59, 294.91, 0.000, 1.801, 1.789, REMOTE MODE, 14, 70, 170.33890, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.45, False, NaN, 42.19, 66.35, 104.00, 106.00, 100.00, 22.41, 22.62, 0.00, 96.61, 1, 0, 22.51, 22.62
10/11/2016, 13:39:05.191, 00:01:03, 295.042, 295.242, 294.57, 294.90, 0.000, 1.801, 1.785, REMOTE MODE, 14, 70, 39.15335, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.46, False, NaN, 42.23, 66.36, 104.00, 106.00, 100.00, 22.41, 22.62, 0.00, 96.61, 1, 0, 22.51, 22.62
10/11/2016, 13:39:34.835, 00:01:33, 295.023, 295.224, 294.55, 294.88, 0.000, 1.801, 1.789, REMOTE MODE, 14, 70, 12.21542, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.46, False, NaN, 42.26, 66.36, 104.00, 106.00, 100.00, 22.41, 22.72, 0.00, 96.61, 1, 0, 22.51, 22.72
10/11/2016, 13:40:04.491, 00:02:03, 295.006, 295.211, 294.54, 294.87, 0.000, 1.801, 1.789, REMOTE MODE, 14, 70, 7.29463, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.47, False, NaN, 42.28, 66.36, 104.00, 106.00, 100.00, 22.51, 22.72, 0.00, 96.61, 1, 0, 22.51, 22.72
10/11/2016, 13:40:34.151, 00:02:32, 294.991, 295.196, 294.53, 294.86, 0.000, 1.801, 1.789, REMOTE MODE, 14, 70, 5.37426, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.47, False, NaN, 42.30, 66.36, 104.00, 106.00, 100.00, 22.51, 22.72, 0.00, 96.61, 1, 0, 22.51, 22.82
10/11/2016, 13:41:03.816, 00:03:02, 294.977, 295.184, 294.52, 294.83, 0.000, 1.801, 1.789, REMOTE MODE, 14, 70, 4.61292, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.47, False, NaN, 42.32, 66.37, 104.00, 106.00, 100.00, 22.51, 22.72, 0.00, 96.61, 1, 0, 22.51, 22.82
10/11/2016, 13:41:33.461, 00:03:32, 294.965, 295.171, 294.51, 294.81, 0.000, 1.805, 1.789, REMOTE MODE, 14, 70, 4.27371, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.48, False, NaN, 42.34, 66.37, 104.00, 106.00, 100.00, 22.51, 22.72, 0.00, 96.61, 1, 0, 22.51, 22.82
10/11/2016, 13:42:03.120, 00:04:01, 294.954, 295.160, 294.50, 294.78, 0.000, 1.801, 1.789, REMOTE MODE, 14, 70, 4.19288, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.48, False, NaN, 42.35, 66.38, 104.00, 106.00, 100.00, 22.51, 22.72, 0.00, 96.61, 1, 0, 22.51, 22.92
10/11/2016, 13:42:32.774, 00:04:31, 294.942, 295.150, 294.49, 294.76, 0.000, 1.801, 1.789, REMOTE MODE, 14, 70, 4.11357, Torr, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, CoolDown - MEDIUM LEAK TEST, False, False, OFF, ON, Open, Closed, 2.00 K, True, 70.48, False, NaN, 42.36, 66.38, 104.00, 106.00, 100.00, 22.51, 22.72, 0.00, 96.61, 1, 0, 22.51, 22.92
