Date, Time, Relative Time, Platform Temp., Sample Temp., Stage 1 Temp., Stage 2 Temp., User Temp., Compressor Supply, Compressor Return, Compressor State, Compressor Speed, Head Speed, Vacuum Pressure, Units, Stage 1 Heater Set, Stage 1 Heater Watt., Stage 2 Heater Set, Stage 2 Heater Watt., Platform Heater Set, Platform Heater Watt., User Heater Set, User Heater Watt., System State, Manual Mode, PID Temp Control, Compressor Status, Vacuum Pump (On/off), Case Valve (Open/Closed), Vent Valve (Open/Closed), Target Temp., Sample Therm Enabled, Sample Therm Resistance, User Therm Enabled, User Therm Resistance, Stage 1 Therm Resistance, Stage 2 Therm Resistance, Stage 1 Heater Resistance, Stage 2 Heater Resistance, Platform Heater Resistance, Capsule Temp., He Temp., Oil Flow Ratio, Oil Level, Fan Speed, Solenoid Valve State, Oil Temp., Exhaust Temp.
10/21/2016, 0:00:12.436, 07:48:39, 5.068, 5.025, 59.31, 4.81, 0.000, 2.135, 0.754, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3540.98, False, NaN, 10664.91, 2614.81, 104.00, 106.00, 100.00, 49.54, 24.24, 0.76, 30.64, 1, 0, 43.39, 32.09
10/21/2016, 0:00:42.099, 07:49:08, 5.030, 5.090, 59.31, 4.47, 0.000, 2.135, 0.758, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3485.33, False, NaN, 10664.87, 2834.88, 104.00, 106.00, 100.00, 49.54, 24.24, 0.75, 30.64, 1, 0, 43.26, 32.09
10/21/2016, 0:01:11.744, 07:49:38, 5.009, 5.020, 59.07, 4.66, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3544.54, False, NaN, 10667.93, 2706.87, 104.00, 106.00, 100.00, 49.54, 24.14, 0.75, 30.31, 1, 0, 43.26, 32.09
10/21/2016, 0:01:41.398, 07:50:08, 5.064, 5.082, 59.32, 4.58, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3491.94, False, NaN, 10664.75, 2758.94, 104.00, 106.00, 100.00, 49.54, 24.14, 0.75, 30.31, 1, 0, 43.26, 32.09
10/21/2016, 0:02:11.058, 07:50:37, 5.074, 5.028, 59.56, 4.59, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3538.22, False, NaN, 10661.69, 2751.56, 104.00, 106.00, 100.00, 49.40, 24.14, 0.76, 30.31, 1, 0, 43.26, 32.09
10/21/2016, 0:02:40.711, 07:51:07, 4.999, 5.052, 59.56, 4.61, 0.000, 2.132, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3517.05, False, NaN, 10661.72, 2736.09, 104.00, 106.00, 100.00, 49.40, 24.14, 0.76, 30.31, 1, 0, 43.26, 32.09
10/21/2016, 0:03:10.366, 07:51:37, 5.004, 5.053, 59.33, 4.49, 0.000, 2.132, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3516.64, False, NaN, 10664.68, 2820.79, 104.00, 106.00, 100.00, 49.40, 24.14, 0.76, 30.31, 1, 0, 43.26, 32.09
10/21/2016, 0:03:40.027, 07:52:06, 5.065, 5.025, 59.32, 4.79, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3527.91, False, NaN, 10664.75, 2623.22, 104.00, 106.00, 100.00, 49.40, 24.14, 0.76, 30.31, 1, 0, 43.26, 31.98
10/21/2016, 0:04:09.683, 07:52:36, 5.054, 5.061, 59.33, 4.46, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3509.97, False, NaN, 10664.63, 2845.83, 104.00, 106.00, 100.00, 49.40, 24.03, 0.75, 30.31, 1, 0, 43.13, 31.98
10/21/2016, 0:04:39.340, 07:53:06, 5.002, 5.018, 59.32, 4.80, 0.000, 2.132, 0.744, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 5.00 K, True, 3546.52, False, NaN, 10664.72, 2597.82, 104.00, 106.00, 100.00, 49.40, 24.03, 0.75, 30.31, 1, 0, 43.13, 31.98
